Id,Expected
1209db6dcdda5cc8a788edaeb6aa460a_0,513656 30 514936 30 516216 30 517496 30 518771 50 518831 20 520051 50 520111 20 521331 50 521391 20 522611 50 522671 20 523886 100 525166 100 526446 100 527721 110 529001 110 530281 110 531561 110 532836 115 534116 115 535396 115 536676 115 537956 115 539236 115 540516 115 541796 115 543071 120 544351 120 545631 120 546911 120 548186 125 549466 125 550746 125 552026 125 553306 125 554586 125 555866 125 557146 125 558421 125 559701 125 560981 125 562261 125 563536 130 564816 130 566096 130 567376 130 568656 130 569936 130 571216 130 572496 130 573776 130 575056 130 576336 130 577611 130 578891 130 580171 130 581451 130 582731 130 584011 130 585291 130 586571 130 587851 130 589131 130 590411 130 591691 130 592971 130 594251 130 595531 130 596811 130 598091 135 599371 135 600651 135 601931 135 603211 135 604491 135 605771 135 607051 135 608326 140 609606 140 610886 140 612166 140 613446 145 614726 145 616006 145 617286 145 618566 145 619846 145 621126 145 622406 150 623686 150 624966 150 626246 150 627526 150 628806 150 630086 150 631366 150 632646 155 633926 155 635206 155 636486 155 637766 155 639046 155 640326 155 641606 155 642891 155 644171 155 645451 155 646731 155 648011 160 649291 160 650571 160 651851 160 653131 160 654411 160 655691 160 656971 160 658251 165 659531 165 660811 165 662096 160 663376 160 664656 160 665936 160 667216 160 668496 160 669776 160 671056 160 672336 165 673616 165 674896 165 676176 165 677461 160 678741 160 680021 160 681301 160 682581 160 683861 160 685141 160 686421 160 687701 160 688981 160 690261 160 691541 160 692821 165 694101 165 695381 165 696661 165 697946 160 699226 160 700506 160 701786 160 703066 160 704346 160 705626 160 706911 160 708191 160 709471 160 710751 160 712031 160 713311 160 714591 160 715871 160 717156 155 718436 155 719716 155 720996 155 722281 150 723561 150 724841 150 726121 150 727406 150 728686 150 729966 150 731246 150 732531 145 733811 145 735091 145 736371 145 737661 135 738941 135 740221 135 741501 135 742786 130 744066 130 745346 130 746626 130 747911 125 749191 125 750471 125 751761 115 753041 115 754321 115 755601 115 756906 90 758186 90 759466 90 760746 90 762026 90 763306 90 764586 90 765866 90 767156 80 768436 80 769716 80 770996 80 772291 25 772331 20 773571 25 773611 20 774851 25 774891 20 776131 25 776171 20 777416 10 778696 10 779976 10 781256 10
1209db6dcdda5cc8a788edaeb6aa460a_1,
a6a4248a41e8db8b4ed633b456aaafac_0,
a6a4248a41e8db8b4ed633b456aaafac_1,653371 15 654651 15 655931 15 657211 15 658491 40 659771 40 661051 40 662326 65 663606 65 664886 65 666166 65 667446 70 668726 70 670006 70 671286 70 672566 75 673846 75 675126 75 676406 75 677686 80 678966 80 680246 80 681521 90 682801 90 684081 90 685361 90 686641 90 687921 90 689201 90 690481 90 691761 95 693041 95 694321 95 695601 95 696881 95 698161 95 699441 95 700721 95 702001 95 703281 95 704561 95 705841 100 707121 100 708401 100 709681 100 710961 100 712241 100 713521 100 714801 100 716081 100 717361 100 718641 100 719921 100 721201 100 722481 100 723761 100 725041 100 726321 100 727601 100 728881 100 730161 105 731441 105 732721 105 734001 105 735281 110 736561 110 737841 110 739121 125 740401 125 741681 125 742961 125 744241 135 745521 135 746801 135 748081 135 749361 140 750641 140 751921 140 753201 140 754481 140 755761 140 757041 140 758321 140 759601 140 760881 140 762161 140 763441 145 764721 145 766001 145 767281 145 768561 145 769841 145 771121 145 772401 145 773681 145 774961 145 776241 145 777521 145 778801 145 780081 145 781361 145 782641 145 783921 145 785201 145 786481 145 787761 150 789041 150 790321 150 791601 150 792886 145 794166 145 795446 145 796726 145 798006 145 799286 145 800566 145 801846 145 803126 145 804406 145 805686 145 806966 145 808246 145 809526 145 810806 145 812086 145 813366 145 814646 145 815931 145 817211 145 818491 145 819771 145 821051 145 822331 145 823611 145 824891 145 826171 145 827451 145 828731 145 830011 145 831291 145 832571 145 833851 145 835136 140 836416 140 837696 140 838976 140 840256 140 841536 140 842816 140 844096 140 845381 135 846661 135 847941 135 849221 135 850501 135 851781 135 853061 135 854346 125 855626 125 856906 125 858186 125 859466 125 860746 125 862026 125 863306 125 864591 120 865871 120 867151 120 868431 120 869711 120 870991 120 872271 120 873556 110 874836 110 876116 110 877396 110 878676 110 879956 110 881236 110 882516 110 883801 100 885081 100 886361 100 887641 100 888926 90 890206 90 891486 90 892771 80 894051 80 895331 80 896611 80 897896 70 899176 70 900456 70 901736 70 903026 50 904306 50 905586 50 906866 50 908166 15 909446 15 910726 15
1ad4f13ccf1f4b331a412fc44655fb51_0,508936 35 510216 35 511496 35 512776 35 514026 75 515306 75 516586 75 517866 75 519131 95 520411 95 521691 95 522971 95 524241 115 525521 115 526801 115 528081 130 529361 130 530641 130 531921 130 533196 145 534476 145 535756 145 537036 145 538311 155 539591 155 540871 155 542151 155 543431 165 544711 165 545991 165 547271 165 548546 175 549826 175 551106 175 552386 175 553661 185 554941 185 556221 185 557501 185 558781 185 560061 185 561341 185 562621 185 563896 195 565176 195 566456 195 567736 195 569016 200 570296 200 571576 200 572851 205 574131 205 575411 205 576691 205 577966 215 579246 215 580526 215 581806 215 583086 215 584366 215 585646 215 586926 215 588201 225 589481 225 590761 225 592041 225 593321 225 594601 225 595881 225 597161 225 598436 230 599716 230 600996 230 602276 230 603556 230 604836 230 606116 230 607396 230 608671 235 609951 235 611231 235 612511 235 613791 235 615071 235 616351 235 617626 240 618906 240 620186 240 621466 240 622746 240 624026 240 625306 240 626586 240 627866 240 629146 240 630426 240 631706 240 632986 240 634266 240 635546 240 636826 240 638106 240 639386 240 640666 240 641946 240 643231 230 644511 230 645791 230 647071 230 648351 230 649631 230 650911 230 652191 230 653471 230 654751 230 656031 230 657311 230 658591 225 659871 225 661151 225 662436 220 663716 220 664996 220 666276 220 667556 220 668836 220 670116 220 671396 220 672676 215 673956 215 675236 215 676516 215 677801 210 679081 210 680361 210 681641 210 682921 205 684201 205 685481 205 686761 205 688046 190 689326 190 690606 190 691886 190 693166 185 694446 185 695726 185 697006 185 698291 170 699571 170 700851 170 702131 170 703411 165 704691 165 705971 165 707256 150 708536 150 709816 150 711096 150 712381 140 713661 140 714941 140 716221 140 717506 110 718786 110 720066 110 721346 110 722636 90 723916 90 725196 90 726476 90 727776 60 729056 60 730336 60 731616 60 732911 35 734191 35 735471 35 736751 35
1ad4f13ccf1f4b331a412fc44655fb51_1,
af35b65bd9ea42cfcfedb5eb2a0e4b50_0,553701 20 554981 20 556261 20 557541 20 558811 60 560091 60 561371 60 562651 60 563866 25 563921 90 565146 25 565201 90 566426 25 566481 90 567706 25 567761 90 568976 170 570256 170 571536 170 572811 180 574091 180 575371 180 576651 180 577931 190 579211 190 580491 190 581771 190 583046 200 584326 200 585606 200 586886 200 588166 205 589446 205 590726 205 592006 205 593286 210 594566 210 595846 210 597126 210 598406 215 599686 215 600966 215 602246 215 603526 220 604806 220 606086 220 607366 220 608651 220 609931 220 611211 220 612491 220 613771 220 615051 220 616331 220 617611 225 618891 225 620171 225 621451 225 622736 225 624016 225 625296 225 626576 225 627856 225 629136 225 630416 225 631696 225 632981 225 634261 225 635541 225 636821 225 638101 225 639381 225 640661 225 641941 225 643226 220 644506 220 645786 220 647066 220 648346 225 649626 225 650906 225 652186 225 653471 220 654751 220 656031 220 657311 220 658591 225 659871 225 661151 225 662436 220 663716 220 664996 220 666276 220 667556 220 668836 220 670116 220 671396 220 672681 215 673961 215 675241 215 676521 215 677801 215 679081 215 680361 215 681641 215 682926 210 684206 210 685486 210 686766 210 688046 210 689326 210 690606 210 691886 210 693171 205 694451 205 695731 205 697011 205 698296 200 699576 200 700856 200 702136 200 703421 195 704701 195 705981 195 707261 195 708541 195 709821 195 711101 195 712386 190 713666 190 714946 190 716226 190 717511 185 718791 185 720071 185 721351 185 722636 180 723916 180 725196 180 726476 180 727761 170 729041 170 730321 170 731601 170 732886 165 734166 165 735446 165 736726 165 738011 160 739291 160 740571 160 741851 160 743136 150 744416 150 745696 150 746976 150 748261 145 749541 145 750821 145 752111 135 753391 135 754671 135 755951 135 757236 125 758516 125 759796 125 761076 125 762361 120 763641 120 764921 120 766201 120 767491 105 768771 105 770051 105 771331 105 772621 95 773901 95 775181 95 776461 95 777751 80 779031 80 780311 80 781591 80 782891 50 784171 50 785451 50 786731 50
af35b65bd9ea42cfcfedb5eb2a0e4b50_1,
4baddc22268d4b4ef4d95ceea1195799_0,590361 45 591641 45 592921 45 594201 45 595461 75 596741 75 598021 75 599301 75 600576 85 601856 85 603136 85 604416 85 605686 100 606966 100 608246 100 609521 110 610801 110 612081 110 613361 110 614636 120 615916 120 617196 120 618476 120 619756 125 621036 125 622316 125 623591 135 624871 135 626151 135 627431 135 628711 140 629991 140 631271 140 632551 140 633826 150 635106 150 636386 150 637666 150 638946 150 640226 150 641506 150 642786 155 644066 155 645346 155 646626 155 647906 155 649186 155 650466 155 651746 155 653026 160 654306 160 655586 160 656866 160 658141 165 659421 165 660701 165 661981 165 663261 165 664541 165 665821 165 667101 170 668381 170 669661 170 670941 170 672221 175 673501 175 674781 175 676061 175 677341 175 678621 175 679901 175 681181 180 682461 180 683741 180 685021 180 686301 185 687581 185 688861 185 690141 185 691426 185 692706 185 693986 185 695266 185 696546 185 697826 185 699106 185 700386 190 701666 190 702946 190 704226 190 705506 190 706786 190 708066 190 709346 190 710626 195 711906 195 713186 195 714466 195 715746 195 717026 195 718306 195 719591 195 720871 195 722151 195 723431 195 724711 195 725991 195 727271 195 728551 195 729831 200 731111 200 732391 200 733671 200 734956 195 736236 195 737516 195 738796 200 740076 200 741356 200 742636 200 743921 200 745201 200 746481 200 747761 200 749041 200 750321 200 751601 200 752881 200 754166 200 755446 200 756726 200 758011 200 759291 200 760571 200 761851 200 763131 205 764411 205 765691 205 766971 205 768256 200 769536 200 770816 200 772096 200 773381 200 774661 200 775941 200 777221 200 778501 200 779781 200 781061 200 782341 200 783621 200 784901 200 786181 200 787466 200 788746 200 790026 200 791306 200 792586 200 793866 200 795146 200 796426 205 797706 205 798986 205 800266 205 801551 200 802831 200 804111 200 805391 200 806671 200 807951 200 809231 200 810511 200 811796 195 813076 195 814356 195 815636 200 816916 200 818196 200 819476 200 820761 195 822041 195 823321 195 824601 195 825881 195 827161 195 828441 195 829721 195 831006 190 832286 190 833566 190 834846 190 836126 190 837406 190 838686 190 839971 185 841251 185 842531 185 843811 185 845096 180 846376 180 847656 180 848936 180 850216 180 851496 180 852776 180 854061 175 855341 175 856621 175 857901 175 859186 170 860466 170 861746 170 863026 170 864311 165 865591 165 866871 165 868151 165 869436 160 870716 160 871996 160 873276 160 874556 160 875836 160 877116 160 878396 160 879676 160 880956 160 882236 160 883521 155 884801 155 886081 155 887361 155 888641 155 889921 155 891201 155 892481 155 893761 155 895041 155 896321 155 897606 150 898886 150 900166 150 901446 150 902726 150 904006 150 905286 150 906566 150 907851 145 909131 145 910411 145 911691 145 912971 145 914251 145 915531 145 916816 135 918096 135 919376 135 920656 135 921936 135 923216 135 924496 135 925781 130 927061 130 928341 130 929621 130 930901 125 932181 125 933461 125 934741 125 936026 120 937306 120 938586 120 939866 120 941146 115 942426 115 943706 115 944991 105 946271 105 947551 105 948831 105 950111 105 951391 105 952671 105 953951 105 955236 95 956516 95 957796 95 959076 95 960361 85 961641 85 962921 85 964206 75 965486 75 966766 75 968046 75 969336 60 970616 60 971896 60 973176 60 974466 45 975746 45 977026 45 978306 45 979601 20 980881 20 982161 20
4baddc22268d4b4ef4d95ceea1195799_1,
